dimensions.code,dimensions.label,land,land_code,fylke,fylke_code,kommune,kommune_code,bydel,bydel_code,region_code,region_navn,region_level
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Gildeskål,1838,,,1838,Gildeskål,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Beiarn,1839,,,1839,Beiarn,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Saltdal,1840,,,1840,Saltdal,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Fauske Fuossko,1841,,,1841,Fauske Fuossko,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Sørfold,1845,,,1845,Sørfold,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Steigen,1848,,,1848,Steigen,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Lødingen,1851,,,1851,Lødingen,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Evenes Evenášši,1853,,,1853,Evenes Evenášši,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Røst,1856,,,1856,Røst,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Værøy,1857,,,1857,Værøy,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Flakstad,1859,,,1859,Flakstad,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Vestvågøy,1860,,,1860,Vestvågøy,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Vågan,1865,,,1865,Vågan,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Hadsel,1866,,,1866,Hadsel,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Bø,1867,,,1867,Bø,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Øksnes,1868,,,1868,Øksnes,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Sortland Suortá,1870,,,1870,Sortland Suortá,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Andøy,1871,,,1871,Andøy,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Moskenes,1874,,,1874,Moskenes,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Hábmer Hamarøy,1875,,,1875,Hábmer Hamarøy,kommune
GEO,Geografi,Hele landet,0,Østfold,31,,,,,31,Østfold,fylke
GEO,Geografi,Hele landet,0,Østfold,31,Halden,3101,,,3101,Halden,kommune
GEO,Geografi,Hele landet,0,Østfold,31,Moss,3103,,,3103,Moss,kommune
GEO,Geografi,Hele landet,0,Østfold,31,Sarpsborg,3105,,,3105,Sarpsborg,kommune
GEO,Geografi,Hele landet,0,Østfold,31,Fredrikstad,3107,,,3107,Fredrikstad,kommune
GEO,Geografi,Hele landet,0,Østfold,31,Hvaler,3110,,,3110,Hvaler,kommune
GEO,Geografi,Hele landet,0,Østfold,31,Råde,3112,,,3112,Råde,kommune
GEO,Geografi,Hele landet,0,Østfold,31,Våler (Østfold),3114,,,3114,Våler (Østfold),kommune
GEO,Geografi,Hele landet,0,Østfold,31,Skiptvet,3116,,,3116,Skiptvet,kommune
GEO,Geografi,Hele landet,0,Østfold,31,Indre Østfold,3118,,,3118,Indre Østfold,kommune
GEO,Geografi,Hele landet,0,Østfold,31,Rakkestad,3120,,,3120,Rakkestad,kommune
GEO,Geografi,Hele landet,0,Østfold,31,Marker,3122,,,3122,Marker,kommune
GEO,Geografi,Hele landet,0,Østfold,31,Aremark,3124,,,3124,Aremark,kommune
GEO,Geografi,Hele landet,0,Akershus,32,,,,,32,Akershus,fylke
GEO,Geografi,Hele landet,0,Akershus,32,Bærum,3201,,,3201,Bærum,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Asker,3203,,,3203,Asker,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Lillestrøm,3205,,,3205,Lillestrøm,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Nordre Follo,3207,,,3207,Nordre Follo,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Ullensaker,3209,,,3209,Ullensaker,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Nesodden,3212,,,3212,Nesodden,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Frogn,3214,,,3214,Frogn,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Vestby,3216,,,3216,Vestby,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Ås,3218,,,3218,Ås,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Enebakk,3220,,,3220,Enebakk,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Lørenskog,3222,,,3222,Lørenskog,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Rælingen,3224,,,3224,Rælingen,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Aurskog-Høland,3226,,,3226,Aurskog-Høland,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Nes,3228,,,3228,Nes,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Gjerdrum,3230,,,3230,Gjerdrum,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Nittedal,3232,,,3232,Nittedal,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Lunner,3234,,,3234,Lunner,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Jevnaker,3236,,,3236,Jevnaker,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Nannestad,3238,,,3238,Nannestad,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Eidsvoll,3240,,,3240,Eidsvoll,kommune
GEO,Geografi,Hele landet,0,Akershus,32,Hurdal,3242,,,3242,Hurdal,kommune
GEO,Geografi,Hele landet,0,Buskerud,33,,,,,33,Buskerud,fylke
GEO,Geografi,Hele landet,0,Buskerud,33,Drammen,3301,,,3301,Drammen,kommune
GEO,Geografi,Hele landet,0,Buskerud,33,Kongsberg,3303,,,3303,Kongsberg,kommune
GEO,Geografi,Hele landet,0,Buskerud,33,Ringerike,3305,,,3305,Ringerike,kommune
GEO,Geografi,Hele landet,0,Buskerud,33,Hole,3310,,,3310,Hole,kommune
GEO,Geografi,Hele landet,0,Buskerud,33,Lier,3312,,,3312,Lier,kommune
GEO,Geografi,Hele landet,0,Buskerud,33,Øvre Eiker,3314,,,3314,Øvre Eiker,kommune
GEO,Geografi,Hele landet,0,Buskerud,33,Modum,3316,,,3316,Modum,kommune
GEO,Geografi,Hele landet,0,Buskerud,33,Krødsherad,3318,,,3318,Krødsherad,kommune
GEO,Geografi,Hele landet,0,Buskerud,33,Flå,3320,,,3320,Flå,kommune
GEO,Geografi,Hele landet,0,Buskerud,33,Nesbyen,3322,,,3322,Nesbyen,kommune
GEO,Geografi,Hele landet,0,Buskerud,33,Gol,3324,,,3324,Gol,kommune
GEO,Geografi,Hele landet,0,Buskerud,33,Hemsedal,3326,,,3326,Hemsedal,kommune
GEO,Geografi,Hele landet,0,Buskerud,33,Ål,3328,,,3328,Ål,kommune
GEO,Geografi,Hele landet,0,Buskerud,33,Hol,3330,,,3330,Hol,kommune
