kommunenr_2024,kommunenavn_2024,Kilde,kommunenr_historiske,kommuner_alle.name
1818,Herõy (Nordland),kommunenr_1977,1818,Herõy (Nordland)
1820,Alstahaug,kommunenr_1977,1820,Alstahaug
1822,Leirfjord,kommunenr_1977,1822,Leirfjord
1824,Vefsn,kommunenr_1977,1824,Vefsn
1825,Grane,kommunenr_1977,1825,Grane
1826,Aarborte - Hattfjelldal,kommunenr_1977,1826,Aarborte - Hattfjelldal
1826,Aarborte - Hattfjelldal,kommunenr_1977,1826,Hattfjelldal
1827,Dõnna,kommunenr_1977,1827,Dõnna
1828,Nesna,kommunenr_1977,1828,Nesna
1832,Hemnes,kommunenr_1977,1832,Hemnes
1833,Rana,kommunenr_1977,1833,Rana
1834,Lurõy,kommunenr_1977,1834,Lurõy
1835,Trëna,kommunenr_1977,1835,Trëna
1836,Rõdõy,kommunenr_1977,1836,Rõdõy
1837,Melõy,kommunenr_1977,1837,Melõy
1838,GildeskÜl,kommunenr_1977,1838,GildeskÜl
1839,Beiarn,kommunenr_1977,1839,Beiarn
1840,Saltdal,kommunenr_1977,1840,Saltdal
1841,Fauske - Fuossko,kommunenr_1977,1841,Fauske - Fuossko
1841,Fauske - Fuossko,kommunenr_1977,1841,Fauske
1845,Sõrfold,kommunenr_1977,1845,Sõrfold
1848,Steigen,kommunenr_1977,1848,Steigen
1851,Lõdingen,kommunenr_1977,1851,Lõdingen
1853,Evenes,kommunenr_1977,1853,Evenes - Even†??i
1853,Evenes,kommunenr_1977,1853,Evenes
1856,Rõst,kommunenr_1977,1856,Rõst
1857,Vërõy,kommunenr_1977,1857,Vërõy
1859,Flakstad,kommunenr_1977,1859,Flakstad
1860,VestvÜgõy,kommunenr_1977,1860,VestvÜgõy
1865,VÜgan,kommunenr_1977,1865,VÜgan
1866,Hadsel,kommunenr_1977,1866,Hadsel
1867,Bõ,kommunenr_1977,1867,Bõ (Nordland)
1867,Bõ,kommunenr_1977,1867,Bõ
1868,ùksnes,kommunenr_1977,1868,ùksnes
1870,Sortland - Suort†,kommunenr_1977,1870,Sortland - Suort†
1870,Sortland - Suort†,kommunenr_1977,1870,Sortland
1871,Andõy,kommunenr_1977,1871,Andõy
1874,Moskenes,kommunenr_1977,1874,Moskenes
1875,H†bmer - Hamarõy,kommunenr_1977,1849,H†bmer - Hamarõy
1875,H†bmer - Hamarõy,kommunenr_1977,1849,Hamarõy
1875,H†bmer - Hamarõy,kommunenr_2024,1875,H†bmer - Hamarõy
3101,Halden,kommunenr_2024,3101,Halden
3101,Halden,kommunenr_2020,3001,Halden
3101,Halden,kommunenr_1977,0101,Halden
3103,Moss,kommunenr_2020,3002,Moss
3103,Moss,kommunenr_1977,0136,Rygge
3103,Moss,kommunenr_1977,0104,Moss
3103,Moss,kommunenr_2024,3103,Moss
3105,Sarpsborg,kommunenr_2024,3105,Sarpsborg
3105,Sarpsborg,kommunenr_1977,0114,Varteig
3105,Sarpsborg,kommunenr_1992,0105,Sarpsborg
3105,Sarpsborg,kommunenr_2020,3003,Sarpsborg
3105,Sarpsborg,kommunenr_1977,0115,Skjeberg
3105,Sarpsborg,kommunenr_1977,0102,Sarpsborg
3105,Sarpsborg,kommunenr_1977,0130,Tune
3107,Fredrikstad,kommunenr_1994,0106,Fredrikstad
3107,Fredrikstad,kommunenr_1977,0113,Borge
3107,Fredrikstad,kommunenr_2020,3004,Fredrikstad
3107,Fredrikstad,kommunenr_2024,3107,Fredrikstad
3107,Fredrikstad,kommunenr_1977,0131,Rolvsõy
3107,Fredrikstad,kommunenr_1977,0103,Fredrikstad
3107,Fredrikstad,kommunenr_1977,0134,Onsõy
3107,Fredrikstad,kommunenr_1977,0133,KrÜkerõy
3110,Hvaler,kommunenr_2020,3011,Hvaler
3110,Hvaler,kommunenr_2024,3110,Hvaler
3110,Hvaler,kommunenr_1977,0111,Hvaler
3112,RÜde,kommunenr_1977,0135,RÜde
3112,RÜde,kommunenr_2024,3112,RÜde
3112,RÜde,kommunenr_2020,3017,RÜde
3114,VÜler (ùstfold),kommunenr_1977,0137,VÜler (ùstfold)
3114,VÜler (ùstfold),kommunenr_2024,3114,VÜler (ùstfold)
3114,VÜler (ùstfold),kommunenr_2020,3018,VÜler (Viken)
3116,Skiptvet,kommunenr_1977,0127,Skiptvet
3116,Skiptvet,kommunenr_2024,3116,Skiptvet
3116,Skiptvet,kommunenr_2020,3015,Skiptvet
3118,Indre ùstfold,kommunenr_2024,3118,Indre ùstfold
3118,Indre ùstfold,kommunenr_1977,0123,Spydeberg
3118,Indre ùstfold,kommunenr_1977,0122,Trõgstad
3118,Indre ùstfold,kommunenr_1977,0124,Askim
3118,Indre ùstfold,kommunenr_2020,3014,Indre ùstfold
3118,Indre ùstfold,kommunenr_1977,0125,Eidsberg
3118,Indre ùstfold,kommunenr_1977,0138,Hobõl
3120,Rakkestad,kommunenr_1977,0128,Rakkestad
3120,Rakkestad,kommunenr_2024,3120,Rakkestad
3120,Rakkestad,kommunenr_2020,3016,Rakkestad
3122,Marker,kommunenr_1977,0119,Marker
3122,Marker,kommunenr_2024,3122,Marker
3122,Marker,kommunenr_2020,3013,Marker
3124,Aremark,kommunenr_1977,0118,Aremark
3124,Aremark,kommunenr_2024,3124,Aremark
