kommunenr_2024,kommunenavn_2024,landsdelnr,landsdel
5605,Sør-Varanger,6,Nord-Norge
5607,Vadsø,6,Nord-Norge
5610,Kárá?johka - Karasjok,6,Nord-Norge
5612,Guovdageaidnu - Kautokeino,6,Nord-Norge
5614,Loppa,6,Nord-Norge
5616,Hasvik,6,Nord-Norge
5618,Måsøy,6,Nord-Norge
5620,Nordkapp,6,Nord-Norge
5622,Porsanger - Porsángu - Porsanki,6,Nord-Norge
5624,Lebesby,6,Nord-Norge
5626,Gamvik,6,Nord-Norge
5628,Deatnu - Tana,6,Nord-Norge
5630,Berlevåg,6,Nord-Norge
5632,Båtsfjord,6,Nord-Norge
5634,Vardø,6,Nord-Norge
5636,Unjárga - Nesseby,6,Nord-Norge
9999,Uoppgitt,9,Uoppgitt
