kommunenr_2024,kommunenavn_2024,kilde,kommunenr_historiske,kommunenavn_historiske
3332,Sigdal,kommunenr_1977,0621,Sigdal
3332,Sigdal,kommunenr_2024,3332,Sigdal
3332,Sigdal,kommunenr_2020,3045,Sigdal
3334,Flesberg,kommunenr_2020,3050,Flesberg
3334,Flesberg,kommunenr_1977,0631,Flesberg
3334,Flesberg,kommunenr_2024,3334,Flesberg
3336,Rollag,kommunenr_2024,3336,Rollag
3336,Rollag,kommunenr_2020,3051,Rollag
3336,Rollag,kommunenr_1977,0632,Rollag
3338,Nore og Uvdal,kommunenr_2024,3338,Nore og Uvdal
3338,Nore og Uvdal,kommunenr_1977,0633,Nore og Uvdal
3338,Nore og Uvdal,kommunenr_2020,3052,Nore og Uvdal
3401,Kongsvinger,kommunenr_1977,0402,Kongsvinger
3401,Kongsvinger,kommunenr_2020,3401,Kongsvinger
3403,Hamar,kommunenr_1977,0414,Vang
3403,Hamar,kommunenr_1992,0403,Hamar
3403,Hamar,kommunenr_2020,3403,Hamar
3403,Hamar,kommunenr_1977,0401,Hamar
3405,Lillehammer,kommunenr_2020,3405,Lillehammer
3405,Lillehammer,kommunenr_1977,0501,Lillehammer
3407,Gjøvik,kommunenr_1977,0502,Gjøvik
3407,Gjøvik,kommunenr_2020,3407,Gjøvik
3411,Ringsaker,kommunenr_1977,0412,Ringsaker
3411,Ringsaker,kommunenr_2020,3411,Ringsaker
3412,Løten,kommunenr_1977,0415,Løten
3412,Løten,kommunenr_2020,3412,Løten
3413,Stange,kommunenr_1977,0417,Stange
3413,Stange,kommunenr_2020,3413,Stange
3414,Nord-Odal,kommunenr_1977,0418,Nord-Odal
3414,Nord-Odal,kommunenr_2020,3414,Nord-Odal
3415,Sør-Odal,kommunenr_2020,3415,Sør-Odal
3415,Sør-Odal,kommunenr_1977,0419,Sør-Odal
3416,Eidskog,kommunenr_1977,0420,Eidskog
3416,Eidskog,kommunenr_2020,3416,Eidskog
3417,Grue,kommunenr_1977,0423,Grue
3417,Grue,kommunenr_2020,3417,Grue
3418,Åsnes,kommunenr_1977,0425,Åsnes
3418,Åsnes,kommunenr_2020,3418,Åsnes
3419,Våler (Innlandet),kommunenr_1977,0426,Våler (Hedmark)
3419,Våler (Innlandet),kommunenr_2020,3419,Våler (Innlandet)
3420,Elverum,kommunenr_2020,3420,Elverum
3420,Elverum,kommunenr_1977,0427,Elverum
3421,Trysil,kommunenr_2020,3421,Trysil
3421,Trysil,kommunenr_1977,0428,Trysil
3422,Åmot,kommunenr_1977,0429,Åmot
3422,Åmot,kommunenr_2020,3422,Åmot
3423,Stor-Elvdal,kommunenr_1977,0430,Stor-Elvdal
3423,Stor-Elvdal,kommunenr_2020,3423,Stor-Elvdal
3424,Rendalen,kommunenr_1977,0432,Rendalen
3424,Rendalen,kommunenr_2020,3424,Rendalen
3425,Engerdal,kommunenr_1977,0434,Engerdal
3425,Engerdal,kommunenr_2020,3425,Engerdal
3426,Tolga,kommunenr_1977,0436,Tolga
3426,Tolga,kommunenr_2020,3426,Tolga
3427,Tynset,kommunenr_1977,0437,Tynset
3427,Tynset,kommunenr_2020,3427,Tynset
3428,Alvdal,kommunenr_1977,0438,Alvdal
3428,Alvdal,kommunenr_2020,3428,Alvdal
3429,Folldal,kommunenr_2020,3429,Folldal
3429,Folldal,kommunenr_1977,0439,Folldal
3430,Os,kommunenr_1977,0441,Os (Hedmark)
3430,Os,kommunenr_2020,3430,Os
3431,Dovre,kommunenr_2020,3431,Dovre
3431,Dovre,kommunenr_1977,0511,Dovre
3432,Lesja,kommunenr_1977,0512,Lesja
3432,Lesja,kommunenr_2020,3432,Lesja
3433,Skjåk,kommunenr_1977,0513,Skjåk
3433,Skjåk,kommunenr_2020,3433,Skjåk
3434,Lom,kommunenr_2020,3434,Lom
3434,Lom,kommunenr_1977,0514,Lom
3435,Vågå,kommunenr_1977,0515,Vågå
3435,Vågå,kommunenr_2020,3435,Vågå
3436,Nord-Fron,kommunenr_1977,0516,Nord-Fron
3436,Nord-Fron,kommunenr_2020,3436,Nord-Fron
3437,Sel,kommunenr_1977,0517,Sel
3437,Sel,kommunenr_2020,3437,Sel
3438,Sør-Fron,kommunenr_1977,0519,Sør-Fron
3438,Sør-Fron,kommunenr_2020,3438,Sør-Fron
3439,Ringebu,kommunenr_1977,0520,Ringebu
3439,Ringebu,kommunenr_2020,3439,Ringebu
3440,Øyer,kommunenr_2020,3440,Øyer
3440,Øyer,kommunenr_1977,0521,Øyer
3441,Gausdal,kommunenr_1977,0522,Gausdal
3441,Gausdal,kommunenr_2020,3441,Gausdal
3442,Østre Toten,kommunenr_1977,0528,Østre Toten
3442,Østre Toten,kommunenr_2020,3442,Østre Toten
3443,Vestre Toten,kommunenr_1977,0529,Vestre Toten
3443,Vestre Toten,kommunenr_2020,3443,Vestre Toten
3446,Gran,kommunenr_2020,3446,Gran
3446,Gran,kommunenr_1977,0534,Gran
3447,Søndre Land,kommunenr_2020,3447,Søndre Land
3447,Søndre Land,kommunenr_1977,0536,Søndre Land
3448,Nordre Land,kommunenr_2020,3448,Nordre Land
3448,Nordre Land,kommunenr_1977,0538,Nordre Land
3449,Sør-Aurdal,kommunenr_1977,0540,Sør-Aurdal
3449,Sør-Aurdal,kommunenr_2020,3449,Sør-Aurdal
3450,Etnedal,kommunenr_2020,3450,Etnedal
3450,Etnedal,kommunenr_1977,0541,Etnedal
3451,Nord-Aurdal,kommunenr_2020,3451,Nord-Aurdal
3451,Nord-Aurdal,kommunenr_1977,0542,Nord-Aurdal
3452,Vestre Slidre,kommunenr_1977,0543,Vestre Slidre
3452,Vestre Slidre,kommunenr_2020,3452,Vestre Slidre
3453,Øystre Slidre,kommunenr_1977,0544,Øystre Slidre
3453,Øystre Slidre,kommunenr_2020,3453,Øystre Slidre
3454,Vang,kommunenr_1977,0545,Vang
3454,Vang,kommunenr_2020,3454,Vang
3901,Horten,kommunenr_1977,0717,Borre
3901,Horten,kommunenr_2020,3801,Horten
3901,Horten,kommunenr_2024,3901,Horten
3901,Horten,kommunenr_1977,0703,Horten
3901,Horten,kommunenr_1988,0701,Horten
3901,Horten,kommunenr_1988,0701,Borre
3903,Holmestrand,kommunenr_2024,3903,Holmestrand
3903,Holmestrand,kommunenr_2020,3802,Holmestrand
3903,Holmestrand,kommunenr_1977,0702,Holmestrand
3903,Holmestrand,kommunenr_1977,0714,Hof
3903,Holmestrand,kommunenr_1977,0713,Sande (Vestfold)
3903,Holmestrand,kommunenr_2018,0715,Holmestrand
3905,Tønsberg,kommunenr_1977,0716,Våle
3905,Tønsberg,kommunenr_2020,3803,Tønsberg
3905,Tønsberg,kommunenr_1988,0704,Tønsberg
3905,Tønsberg,kommunenr_2024,3905,Tønsberg
3905,Tønsberg,kommunenr_1977,0705,Tønsberg
3905,Tønsberg,kommunenr_1977,0716,Re
3905,Tønsberg,kommunenr_1977,0718,Ramnes
3905,Tønsberg,kommunenr_1977,0721,Sem
3907,Sandefjord,kommunenr_2020,3804,Sandefjord
3907,Sandefjord,kommunenr_2024,3907,Sandefjord
3907,Sandefjord,kommunenr_2017,0710,Sandefjord
3907,Sandefjord,kommunenr_1977,0720,Stokke
3907,Sandefjord,kommunenr_1977,0719,Andebu
3907,Sandefjord,kommunenr_1977,0706,Sandefjord
3909,Larvik,kommunenr_1977,0726,Brunlanes
