kommunenr_2024,kommunenavn_2024,oek_regnr,oek_regnavn,validFrom
4005,Notodden,40004,Øst-Telemark,2024-01-01
4010,Siljan,40002,Grenland,2024-01-01
4012,Bamble,40002,Grenland,2024-01-01
4014,Kragerø,40002,Grenland,2024-01-01
4016,Drangedal,40002,Grenland,2024-01-01
4018,Nome,40003,Midt-Telemark,2024-01-01
4020,Midt-Telemark,40003,Midt-Telemark,2024-01-01
4022,Seljord,40005,Vest-Telemark,2024-01-01
4024,Hjartdal,40004,Øst-Telemark,2024-01-01
4026,Tinn,40004,Øst-Telemark,2024-01-01
4028,Kviteseid,40005,Vest-Telemark,2024-01-01
4030,Nissedal,40005,Vest-Telemark,2024-01-01
4032,Fyresdal,40005,Vest-Telemark,2024-01-01
4034,Tokke,40005,Vest-Telemark,2024-01-01
4036,Vinje,40005,Vest-Telemark,2024-01-01
4201,Risør,42001,Østregionen,2024-01-01
4202,Grimstad,42002,Arendal,2024-01-01
4203,Arendal,42002,Arendal,2024-01-01
4204,Kristiansand,42003,Kristiansand,2024-01-01
4205,Lindesnes,42005,Mandal,2024-01-01
4206,Farsund,42006,Lyngdal/Farsund,2024-01-01
4207,Flekkefjord,42007,Flekkefjord,2024-01-01
4211,Gjerstad,42001,Østregionen,2024-01-01
4212,Vegårshei,42001,Østregionen,2024-01-01
4213,Tvedestrand,42001,Østregionen,2024-01-01
4214,Froland,42002,Arendal,2024-01-01
4215,Lillesand,42004,Kristiansand omland,2024-01-01
4216,Birkenes,42004,Kristiansand omland,2024-01-01
4217,Åmli,42001,Østregionen,2024-01-01
4218,Iveland,42004,Kristiansand omland,2024-01-01
4219,Evje og Hornnes,42008,Setesdal og Sirdal,2024-01-01
4220,Bygland,42008,Setesdal og Sirdal,2024-01-01
4221,Valle,42008,Setesdal og Sirdal,2024-01-01
4222,Bykle,42008,Setesdal og Sirdal,2024-01-01
4223,Vennesla,42004,Kristiansand omland,2024-01-01
4224,Åseral,42008,Setesdal og Sirdal,2024-01-01
4225,Lyngdal,42006,Lyngdal/Farsund,2024-01-01
4226,Hægebostad,42006,Lyngdal/Farsund,2024-01-01
4227,Kvinesdal,42007,Flekkefjord,2024-01-01
4228,Sirdal,42008,Setesdal og Sirdal,2024-01-01
4601,Bergen,46005,Bergen,2024-01-01
4602,Kinn,46010,Nordfjord og Kinn,2024-01-01
4611,Etne,46002,Sunnhordland Aust,2024-01-01
4612,Sveio,46001,Stord,2024-01-01
4613,Bømlo,46001,Stord,2024-01-01
4614,Stord,46001,Stord,2024-01-01
4615,Fitjar,46001,Stord,2024-01-01
4616,Tysnes,46002,Sunnhordland Aust,2024-01-01
4617,Kvinnherad,46002,Sunnhordland Aust,2024-01-01
4618,Ullensvang,46003,Indre Hardanger,2024-01-01
4619,Eidfjord,46003,Indre Hardanger,2024-01-01
4620,Ulvik,46004,Voss,2024-01-01
4621,Voss,46004,Voss,2024-01-01
4622,Kvam,46004,Voss,2024-01-01
4623,Samnanger,46006,Midthordland,2024-01-01
4624,Bjørnafjorden,46006,Midthordland,2024-01-01
4625,Austevoll,46006,Midthordland,2024-01-01
4626,Øygarden,46006,Midthordland,2024-01-01
4627,Askøy,46006,Midthordland,2024-01-01
4628,Vaksdal,46004,Voss,2024-01-01
4629,Modalen,46007,Nordhordland,2024-01-01
4630,Osterøy,46006,Midthordland,2024-01-01
4631,Alver,46007,Nordhordland,2024-01-01
4632,Austrheim,46007,Nordhordland,2024-01-01
4633,Fedje,46007,Nordhordland,2024-01-01
4634,Masfjorden,46007,Nordhordland,2024-01-01
4635,Gulen,46007,Nordhordland,2024-01-01
4636,Solund,46009,Sunnfjord og Ytre Sogn,2024-01-01
4637,Hyllestad,46009,Sunnfjord og Ytre Sogn,2024-01-01
4638,Høyanger,46009,Sunnfjord og Ytre Sogn,2024-01-01
4639,Vik,46008,Indre Sogn,2024-01-01
4640,Sogndal,46008,Indre Sogn,2024-01-01
4641,Aurland,46008,Indre Sogn,2024-01-01
